Item	Category	Sources
Abyssos Bastard Sword	Loot	Abyssos Weapon Coffer (IL 635)
Asphodelos Longsword	Loot	Asphodelos Weapon Coffer (IL 605)
Palaka Shamshir	Loot	Paladin's Palaka Arms (IL 536)
Ktiseos Sword	Loot	Paladin's Ktiseos Arms (IL 542)
Manganese Sword	Loot	Ironwood Weapon Coffer (IL 539)
Flamecloaked Broadsword	Loot	Flamecloaked Weapon Coffer (IL 625)
Emerald Bastard Sword	Loot	Emerald Weapon Coffer (IL 515)
High Durium Longsword	Loot	Pewter Weapon Coffer (IL 525)
Bastard Sword of Divine Light	Loot	Divine Light Weapon Coffer (IL 580)
Windswept Shamshir	Loot	Windswept Weapon Coffer (IL 615)
Bismuth Katzbalger	Loot	Phrygian Weapon Coffer (IL 533)
Imperial Magitek Sword	Loot	Paladin's Imperial Arms (IL 530)
Antiquated Caladbolg	Loot	Abyss Armor Coffer (IL 290)
Alexandrian Metal Guillotine	Loot	Alexandrian Weapon Coffer (IL 275)
Alexandrian Metal Guillotine	Instance	Alexander - The Soul of the Creator (Savage)
Cruadin	Instance	Castrum Abania
The Blazing Sun	Instance	Bardam's Mettle
Greatsword of the Crimson Lotus	Instance	Ala Mhigo	Kugane Castle	The Temple of the Fist
Shinryu's Greatsword	Loot	Shinryu Weapon Coffer (IL 335)
Shinryu's Greatsword	Instance	The Minstrel's Ballad: Shinryu's Domain
Cobalt Baselards	Loot	Level 49 Weapon Coffer
Giantsgall Cleavers	Loot	Level 50 Weapon Coffer (IL 70)
Ghost Barque Claymore	Instance	The Sirensong Sea
Mythril Pugiones	Loot	Level 45 Weapon Coffer
Horde Guillotine	Loot	Horde Weapon Coffer (IL 235)
Horde Guillotine	Instance	The Minstrel's Ballad: Nidhogg's Rage
Sophic Edge	Loot	Sophic Weapon Coffer (IL 255)
Sophic Edge	Instance	Containment Bay P1T6 (Extreme)
Jambiyas	Instance	The Stone Vigil
Genji Nagamaki	Loot	Genji Weapon Coffer (IL 345)
Genji Nagamaki	Instance	Deltascape V4.0 (Savage)
Ruby Tide Greatsword	Instance	Shisui of the Violet Tides
Darklight Baselards	Instance	The Wanderer's Palace	Amdapor Keep
Mythril Baselards	Loot	Level 40 Weapon Coffer
Garuda's Plumes	Loot	Vortex Weapon Coffer (IL 70)
Garuda's Plumes	Instance	The Howling Eye (Hard)
Crier's Knives	Instance	Cutter's Cry
Mortal Mogknives	Loot	Mogpon Coffer (IL 75)
Mortal Mogknives	Instance	Thornmarch (Hard)
Ifrit's Kris	Loot	Inferno Weapon Coffer (IL 60)
Ifrit's Kris	Instance	The Bowl of Embers (Hard)
Canopus Stilettos	Instance	The Aurum Vale
Cleavers of Crags	Loot	Crag Weapon Coffer (IL 80)
Cleavers of Crags	Instance	The Navel (Hard)
Susano's Greatsword	Loot	Susano Weapon Coffer (IL 320)
Susano's Greatsword	Instance	The Pool of Tribute (Extreme)
Canopus Guisarme	Instance	The Aurum Vale
Yarzonshell Harpoon	Loot	Level 36 Weapon Coffer
Dzemael Spear	Instance	Dzemael Darkhold
Longstop Lance	Instance	Brayflox's Longstop
Hart Guisarme	Loot	Level 49 Weapon Coffer
Cobalt Trident	Loot	Level 45 Weapon Coffer
Darklight Harpoon	Instance	The Wanderer's Palace	Amdapor Keep
Heavy Steel Lance	Loot	Level 34 Weapon Coffer
Shellsplitter	Instance	The Sunken Temple of Qarn
Mythril Lance	Loot	Level 40 Weapon Coffer
High Allagan Spear	Loot	High Allagan Weapon Coffer (IL 115)
High Allagan Spear	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Dreadwyrm Spear	Loot	Dreadwyrm Weapon Coffer (IL 135)
Dreadwyrm Spear	Instance	The Final Coil of Bahamut - Turn 4
Thunderbolt	Loot	Levin Weapon Coffer (IL 100)
Thunderbolt	Instance	The Striking Tree (Extreme)
Melancholy Mogfork	Loot	Mogpon Coffer (IL 75)
Melancholy Mogfork	Instance	Thornmarch (Hard)
Holy Lance	Loot	Level 50 Weapon Coffer (IL 90)
Allagan Spear	Loot	Allagan Weapon Coffer (IL 95)
Allagan Spear	Instance	The Binding Coil of Bahamut - Turn 5
